no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM
2,0.52,0.54,0.95,0.5,0.51,0.94
4,0.7,0.72,0.97,0.66,0.67,0.96
6,0.67,0.69,0.95,0.64,0.65,0.95
8,0.61,0.62,0.97,0.61,0.62,0.97
10,0.7,0.71,0.97,0.69,0.7,0.97
12,0.66,0.68,0.97,0.64,0.66,0.97
14,0.75,0.76,0.97,0.72,0.74,0.97
16,0.78,0.79,0.97,0.75,0.76,0.97
18,0.74,0.75,0.97,0.72,0.73,0.98
20,0.75,0.77,0.97,0.74,0.75,0.98
22,0.76,0.77,0.97,0.74,0.76,0.98
24,0.78,0.79,0.98,0.76,0.77,0.98
26,0.78,0.79,0.98,0.76,0.77,0.98
28,0.8,0.8,0.98,0.77,0.78,0.98
30,0.79,0.8,0.98,0.78,0.79,0.98
32,0.77,0.78,0.98,0.75,0.77,0.98
34,0.79,0.8,0.98,0.77,0.79,0.98
36,0.78,0.79,0.98,0.75,0.77,0.98
38,0.79,0.8,0.97,0.77,0.79,0.98
40,0.78,0.79,0.97,0.77,0.78,0.98
42,0.8,0.82,0.98,0.78,0.79,0.98
44,0.78,0.79,0.97,0.75,0.77,0.98
46,0.79,0.8,0.98,0.77,0.78,0.98
48,0.78,0.8,0.97,0.76,0.78,0.98
50,0.75,0.76,0.97,0.73,0.75,0.98
52,0.76,0.78,0.98,0.75,0.77,0.98
54,0.75,0.77,0.98,0.74,0.76,0.98
56,0.78,0.79,0.97,0.76,0.77,0.98
58,0.8,0.82,0.98,0.79,0.8,0.98
60,0.78,0.8,0.98,0.76,0.77,0.98
2000,0.81,0.81,0.98,0.79,0.8,0.98
20000,0.8,0.81,0.98,0.78,0.8,0.98
30000,0.8,0.81,0.98,0.78,0.8,0.98